English;Spanish;German;Japanese;Chinese (Simplified);Chinese (Traditional);Korean;Portuguese;French;Italian;Dutch;Swedish;Norwegian;Danish;Hindi;Urdu;Russian;Arabic;Category
concerning;sobre;betreffend;について;关于;關於;...에 관하여;relativo;concernant;riguardante;betreft;rörande;angående;vedrørende;विषय में;کے بارے میں;касательно;بخصوص;Word
concert;concierto;Konzert;コンサート;音乐会;音樂會;콘서트;show;concert;concerto;concert;konsert;konsert;koncert;संगीत समारोह;کنسرٹ;концерт;حفلة موسيقية;Word
conclude;concluir;daraus schließen;結論;得出结论;得出結論;끝내다;concluir;conclure;concludere;concluderen;sluta;konkludere;konkludere;निष्कर्ष;نتیجہ اخذ کرنا;заключить;نستنتج;Word
conclusion;conclusión;Abschluss;結論;结论;結論;결론;conclusão;conclusion;conclusione;conclusie;slutsats;konklusjon;konklusion;निष्कर्ष;نتیجہ;заключение;خاتمة;Word
concrete;concreto;Beton;コンクリート;具体的;具體的;콘크리트;concreto;béton;calcestruzzo;concreet;betong;betong;beton;ठोस;کنکریٹ;конкретный;أسمنت;Word
condition;condición;Zustand;状態;状况;狀況;상태;doença;condition;condizione;voorwaarde;skick;betingelse;tilstand;स्थिति;حالت;состояние;حالة;Word
conduct;conducta;Benehmen;行為;执行;執行;지휘하다;conduta;conduire;condotta;gedrag;uppträdande;oppførsel;adfærd;आचरण;طرز عمل;руководить;سلوك;Word
conference;conferencia;Konferenz;会議;会议;會議;회의;conferência;conférence;conferenza;conferentie;konferens;konferanse;konference;सम्मेलन;کانفرنس;конференция;مؤتمر;Word
confidence;confianza;Vertrauen;自信;信心;信心;신뢰;confiança;confiance;fiducia;vertrouwen;förtroende;selvtillit;tillid;आत्मविश्वास;اعتماد;уверенность;ثقة;Word
confident;seguro;zuversichtlich;自信満々;自信的;自信的;자신감;confiante;confiant;fiducioso;vol vertrouwen;självsäker;Selvsikker;selvsikker;आत्मविश्वासी;پراعتماد;уверенный;واثق;Word
confirm;confirmar;bestätigen;確認;确认;確認;확인하다;confirme;confirmer;Confermare;bevestigen;bekräfta;bekrefte;bekræfte;पुष्टि करना;تصدیق کریں;подтверждать;يتأكد;Word
conflict;conflicto;Konflikt;対立;冲突;衝突;갈등;conflito;conflit;conflitto;conflict;konflikt;konflikt;konflikt;टकराव;تنازعہ;конфликт;صراع;Word
confront;confrontar;konfrontieren;直面する;面对;面對;대면하다;enfrentar;affronter;confrontarsi;confronteren;konfrontera;konfrontere;konfrontere;सामना होना;سامنا کرنا;противостоять;مواجهة;Word
confuse;confundir;verwechseln;混乱;迷惑;迷惑;혼란시키다;confundir;embrouiller;confuso;verwarren;förvirra;forvirre;forvirre;भ्रमित;الجھانا;путать;يربك;Word
confused;confundido;verwirrt;混乱している;使困惑;使困惑;혼란스러운;confuso;confus;confuso;verward;förvirrad;forvirret;forvirret;अस्पष्ट;الجھن میں;смущенный;مشوش;Word
confusing;confuso;verwirrend;紛らわしい;令人困惑;令人困惑;혼란스러운;confuso;déroutant;confusione;verwarrend;förvirrande;forvirrende;forvirrende;भ्रामक;مبہم;сбивает с толку;مربك;Word
confusion;confusión;Verwirrtheit;錯乱;困惑;困惑;착란;confusão;confusion;confusione;verwarring;förvirring;forvirring;forvirring;उलझन;الجھاؤ;путаница;ارتباك;Word
congratulation;felicidades;Glückwunsch;おめでとう;祝贺;祝賀;축하합니다;parabéns;félicitation;congratulazioni;felicitatie;grattis;gratulerer;tillykke;बधाई;مبارک ہو;поздравление;تهنئة;Word
congress;congreso;Kongress;会議;国会;國會;회의;Congresso;congrès;congresso;congres;kongressen;kongress;kongres;कांग्रेस;کانگریس;конгресс;المؤتمر;Word
connect;conectar;verbinden;接続;连接;連接;연결하다;conectar;connecter;Collegare;aansluiten;ansluta;koble;Opret forbindelse;जोड़ना;جڑیں;соединять;يتصل;Word
connection;conexión;Verbindung;繋がり;联系;聯繫;연결;conexão;connexion;connessione;verbinding;förbindelse;forbindelse;forbindelse;कनेक्शन;کنکشن;связь;اتصال;Word
conscious;consciente;bewusst;意識的;有意识的;有意識的;의식하는;consciente;conscient;cosciente;bewust;medveten;bevisst;bevidst;सचेत;ہوش;сознательный;واعي;Word
consequence;consecuencia;Folge;結果;结果;結果;결과;consequência;conséquence;conseguenza;gevolg;Följd;konsekvens;følge;परिणाम;نتیجہ;последствие;عاقبة;Word
conservative;conservador;konservativ;保守的;保守的;保守的;보수적인;conservador;conservateur;conservatore;conservatief;konservativ;konservative;konservative;रूढ़िवादी;قدامت پسند;консерватор;محافظ;Word
consider;considerar;halten;検討;考虑;考慮;고려하다;considerar;considérer;prendere in considerazione;overwegen;överväga;ta i betraktning;overveje;विचार करना;غور کریں;учитывать;يعتبر;Word
considerable;considerable;beträchtlich;かなり;大量;大量;많은;considerável;considérable;considerevole;aanzienlijk;betydande;betraktelig;betydelige;विचारणीय;قابل غور;значительный;ضخم;Word
considerably;importantemente;wesentlich;かなり;相当;相當;상당히;consideravelmente;considérablement;considerevolmente;aanzienlijk;betydligt;mye;betydeligt;काफी;کافی حد تک;значительно;إلى حد كبير;Word
consideration;consideración;Rücksichtnahme;考慮;考虑;考慮;고려 사항;consideração;considération;considerazione;overweging;hänsyn;betraktning;betragtning;सोच-विचार;غور;рассмотрение;اعتبار;Word
consist;consistir;bestehen;構成;组成;組成;이루어져 있다;consiste;consister;consistere;bestaan ​​uit;bestå;bestå;bestå;निहित होना;مشتمل;состоять;تتكون;Word
consistent;coherente;konsistent;一貫性のある;持续的;持續的;일관된;consistente;cohérent;coerente;consistent;konsekvent;konsistent;konsekvent;एक जैसा;متواتر;последовательный;ثابت;Word
constant;constante;Konstante;絶え間ない;持续的;持續的;끊임없는;constante;constant;costante;constante;konstant;konstant;konstant;नियत;مسلسل;постоянный;ثابت;Word
constantly;constantemente;ständig;常に;不断地;不斷地;끊임없이;constantemente;en permanence;costantemente;voortdurend;ständigt;stadig;konstant;निरंतर;مسلسل;постоянно;باستمرار;Word
construct;construir;bauen;構築する;构造;構造;건설하다;construir;construction;costruire;construeren;konstruera;konstruere;konstruere;CONSTRUCT;تعمیر;построить;بناء;Word
construction;construcción;Konstruktion;工事;建造;建造;건설;construção;construction;costruzione;bouw;konstruktion;konstruksjon;konstruktion;निर्माण;تعمیراتی;строительство;بناء;Word
consult;consultar;konsultieren;相談する;咨询;諮詢;찾다;consultar;consulter;consultare;raadplegen;rådfråga;rådføre;konsultere;परामर्श;مشورہ;консультироваться;شاور;Word
consumer;consumidor;Verbraucher;消費者;消费者;消費者;소비자;consumidor;consommateur;consumatore;klant;konsument;forbruker;forbruger;उपभोक्ता;صارف;потребитель;مستهلك;Word
contact;contacto;Kontakt;コンタクト;接触;接觸;연락하다;contato;contact;contatto;contact;Kontakt;kontakt;kontakt;संपर्क;رابطہ;контакт;اتصال;Word
contain;contener;enthalten;含む;包含;包含;포함하다;conter;contenir;contenere;bevatten;innehålla;inneholde;indeholde;रोकना;پر مشتمل;содержать;يحتوي;Word
container;envase;Container;容器;容器;容器;컨테이너;recipiente;récipient;contenitore;container;behållare;container;beholder;CONTAINER;کنٹینر;контейнер;حاوية;Word
contemporary;contemporáneo;zeitgenössisch;コンテンポラリー;当代的;當代的;현대의;contemporâneo;contemporain;contemporaneo;modern;samtida;moderne;nutidige;समकालीन;ہم عصر;современный;معاصر;Word
content 1;contenido 1;Inhalt 1;コンテンツ 1;内容1;內容1;내용 1;conteúdo 1;contenu 1;contenuto 1;inhoud 1;innehåll 1;innhold 1;indhold 1;सामग्री 1;مواد 1;содержание 1;المحتوى 1;Word
contest;concurso;Wettbewerb;コンテスト;比赛;比賽;대회;concurso;concours;concorso;wedstrijd;tävling;konkurranse;konkurrence;प्रतियोगिता;مقابلہ;конкурс;منافسة;Word
context;contexto;Kontext;コンテクスト;语境;語境;문맥;contexto;contexte;contesto;context;sammanhang;kontekst;sammenhæng;प्रसंग;خیال، سیاق;контекст;سياق;Word
continent;continente;Kontinent;大陸;大陆;大陸;대륙;continente;continent;continente;continent;kontinent;kontinent;kontinent;महाद्वीप;براعظم;континент;القارة;Word
continue;continuar;weitermachen;続く;继续;繼續;계속하다;continuar;continuer;Continua;doorgaan;Fortsätta;Fortsette;Blive ved;जारी रखना;جاری رہے;продолжать;يكمل;Word
continuous;continuo;kontinuierlich;連続;连续的;連續的;마디 없는;contínuo;continu;continuo;continu;kontinuerlig;kontinuerlige;sammenhængende;निरंतर;مسلسل;непрерывный;مستمر;Word
contract;contrato;Vertrag;契約;合同;合同;계약;contrato;contracter;contrarre;contract;avtal;kontrakt;kontrakt;अनुबंध;معاہدہ;договор;عقد;Word
contrast;contraste;Kontrast;対比;对比;對比;차이;contraste;contraste;contrasto;contrast;kontrast;kontrast;kontrast;अंतर;برعکس;контраст;مقابلة;Word
contrasting;contrastando;kontrastierend;対照的な;对比的;對比的;대조적인;contrastante;contrastant;contrastante;contrasterend;kontrasterande;kontrasterende;kontrasterende;विषम;متضاد;контрастный;متناقضة;Word
contribute;contribuir;beitragen;助ける;贡献;貢獻;기여하다;contribuir;contribuer;contribuire;bijdragen;bidra;bidra;bidrage;योगदान देना;شراکت;способствовать;يساهم;Word
contribution;contribución;Beitrag;貢献;贡献;貢獻;기부금;contribuição;contribution;contributo;bijdrage;bidrag;bidrag;bidrag;योगदान;شراکت;вклад;مساهمة;Word
control;control;Kontrolle;コントロール;控制;控制;제어;ao controle;contrôle;controllo;controle;kontrollera;kontroll;styring;नियंत्रण;اختیار;контроль;يتحكم;Word
controlled;revisado;kontrolliert;制御された;受控;受控;제어;controlada;contrôlé;controllato;gecontroleerd;kontrollerade;kontrollert;kontrolleret;को नियंत्रित;کنٹرول;контролируемый;خاضع للسيطرة;Word
convenient;conveniente;komfortabel;便利;方便的;方便的;편리한;conveniente;pratique;conveniente;handig;bekväm;beleilig;praktisk;सुविधाजनक;آسان;удобный;مريح;Word
convention;convención;Konvention;大会;习俗;習俗;협약;convenção;convention;convenzione;conventie;konvent;konvensjon;konvention;सम्मेलन;کنونشن;соглашение;مؤتمر;Word
conventional;convencional;konventionell;従来型;传统的;傳統的;전통적인;convencional;conventionnel;convenzionale;conventioneel;konventionell;konvensjonell;konventionel;पारंपरिक;روایتی;общепринятый;عادي;Word
conversation;conversación;Gespräch;会話;对话;對話;대화;conversação;conversation;conversazione;gesprek;konversation;samtale;samtale;बातचीत;بات چیت;беседа;محادثة;Word
convert;convertir;Konvertieren;変換;转变;轉變;전환하다;converter;convertir;convertire;overzetten;konvertera;konvertere;konvertere;बदलना;تبدیل;конвертировать;يتحول;Word
convince;convencer;überzeugen;納得;说服;說服;확신시키다;convencer;convaincre;convincere;overtuigen;övertyga;overbevise;overbevise;मनवाना;قائل;убеждать;يقنع;Word
cook;cocinar;kochen;料理;厨师;廚師;요리하다;cozinhar;cuisiner;cucinare;kok;kock;kokk;laver mad;खाना पकाना;پکانا;готовить;يطبخ;Word
cookie;Galleta;Plätzchen;クッキー;曲奇饼;曲奇餅;쿠키;biscoito;biscuit;biscotto;koekje;kaka;kjeks;cookie;कुकी;کوکی;печенье;بسكويت;Word
cooking;cocinando;Kochen;料理;烹饪;烹飪;요리;culinária;cuisson;cucinando;koken;matlagning;matlaging;madlavning;खाना बनाना;کھانا پکانے;Готовка;طبخ;Word
cool;Frío;Cool;いいね;凉爽的;涼爽的;시원한;legal;cool;Freddo;koel;Häftigt;kul;fedt nok;ठंडा;ٹھنڈا;прохладный;رائع;Word
cooperation;cooperación;Zusammenarbeit;協力;合作;合作;협력;cooperação;coopération;cooperazione;samenwerking;samarbete;samarbeid;samarbejde;सहयोग;تعاون;сотрудничество;تعاون;Word
cope;afrontar;bewältigen;対処;应付;應付;코프;lidar;se débrouiller;far fronte;omgaan met;klara;håndtere;klare sig;सामना करना;نمٹنے;справляться;يَتَصدَّى;Word
copy;Copiar;Kopieren;コピー;复制;複製;복사;cópia de;copie;copia;kopiëren;kopiera;kopiere;kopi;कॉपी;کاپی;копировать;ينسخ;Word
core;centro;Kern;芯;核;核;핵심;essencial;cœur;nucleo;kern;kärna;kjerne;kerne;मुख्य;لازمی;основной;جوهر;Word
corner;esquina;Ecke;コーナー;角落;角落;모서리;canto;coin;angolo;hoek;hörn;hjørne;hjørne;कोना;کونے;угол;ركن;Word
correct;correcto;richtig;正しい;正确的;正確的;옳은;correto;correct;corretto;juist;korrekt;riktig;korrekt;सही;درست;правильный;صحيح;Word
cost;costo;kosten;料金;成本;成本;비용;custo;coût;costo;kosten;kosta;koste;koste;लागत;لاگت;расходы;يكلف;Word
cottage;cabaña;Hütte;コテージ;小屋;小屋;시골집;cabana;chalet;villetta;huisje;stuga;hytte;sommerhus;झोपड़ी;کاٹیج;коттедж;كوخ;Word
